Date,Volume,Close,Average
19/11/2013,35300,4.554429,4.715
20/11/2013,25000,4.486597,4.685
21/11/2013,43000,4.554429,4.695
22/11/2013,22400,4.5835,4.74
25/11/2013,26700,4.573809,4.725
26/11/2013,10200,4.573809,4.705
27/11/2013,23900,4.641642,4.755
28/11/2013,25900,4.641642,4.78
29/11/2013,24500,4.651332,4.82
02/12/2013,50800,4.661022,4.755
03/12/2013,30700,4.525358,4.73
04/12/2013,58400,4.515668,4.64
05/12/2013,17300,4.486597,4.635
06/12/2013,14600,4.56412,4.7
09/12/2013,5500,4.525358,4.695
10/12/2013,23500,4.505978,4.62
11/12/2013,34600,4.40368,4.59
12/12/2013,124400,4.393937,4.435
13/12/2013,50100,4.374452,4.505
16/12/2013,33500,4.471879,4.54
17/12/2013,21500,4.413423,4.56
18/12/2013,21300,4.462135,4.56
19/12/2013,26200,4.510849,4.59
20/12/2013,26600,4.520591,4.615
23/12/2013,18600,4.481621,4.615
24/12/2013,54500,4.501106,4.605
27/12/2013,15800,4.579047,4.665
30/12/2013,25600,4.530334,4.68
31/12/2013,34900,4.481621,4.62
02/01/2014,15200,4.520591,4.645
03/01/2014,15800,4.491364,4.62
06/01/2014,16600,4.471879,4.61
07/01/2014,35600,4.471879,4.6
08/01/2014,50100,4.423165,4.555
09/01/2014,70300,4.306254,4.47
10/01/2014,58900,4.393937,4.465
13/01/2014,111800,4.384194,4.515
14/01/2014,46600,4.345224,4.495
15/01/2014,30800,4.44265,4.505
16/01/2014,221400,4.101657,4.31
17/01/2014,386700,4.052944,4.155
20/01/2014,112400,4.023716,4.16
21/01/2014,162800,3.887319,4.07
22/01/2014,211600,3.848349,3.92
23/01/2014,40200,3.828863,3.945
24/01/2014,36700,3.78015,3.92
27/01/2014,53500,3.828863,3.91
28/01/2014,176500,3.92629,4.015
29/01/2014,45900,3.916547,4.05
30/01/2014,25300,3.955518,4.03
31/01/2014,32400,3.96526,4.035
03/02/2014,64900,3.906805,4.03
04/02/2014,50800,3.984746,4.035
05/02/2014,85900,4.052944,4.135
06/02/2014,59800,4.121143,4.225
07/02/2014,72200,4.082172,4.26
10/02/2014,75600,4.101657,4.21
11/02/2014,42100,4.072429,4.215
12/02/2014,49800,3.975003,4.13
13/02/2014,765800,3.653496,3.685
14/02/2014,332600,3.585297,3.75
18/02/2014,257500,3.507355,3.655
19/02/2014,193500,3.526841,3.64
20/02/2014,98500,3.536584,3.64
21/02/2014,185400,3.48787,3.63
24/02/2014,119000,3.556069,3.655
25/02/2014,99500,3.595039,3.68
26/02/2014,57600,3.565812,3.695
27/02/2014,63800,3.585297,3.68
28/02/2014,49300,3.595039,3.68
03/03/2014,69100,3.556069,3.68
04/03/2014,40800,3.565812,3.66
05/03/2014,131900,3.546326,3.665
06/03/2014,76500,3.556069,3.65
07/03/2014,49600,3.575554,3.68
10/03/2014,163500,3.731436,3.765
11/03/2014,88800,3.682723,3.825
12/03/2014,110300,3.736665,3.78
13/03/2014,160500,3.83474,3.9
14/03/2014,74600,3.883777,3.915
17/03/2014,284300,4.060312,4.08
18/03/2014,120700,4.119158,4.21
19/03/2014,129600,4.050506,4.17
20/03/2014,90100,4.089735,4.125
21/03/2014,79800,4.14858,4.22
24/03/2014,55000,4.089735,4.16
25/03/2014,89900,4.089735,4.145
26/03/2014,24900,4.03089,4.14
27/03/2014,49600,4.03089,4.105
28/03/2014,34500,4.021082,4.115
31/03/2014,54900,4.040698,4.105
01/04/2014,102300,4.168196,4.195
02/04/2014,75300,4.207426,4.275
03/04/2014,50900,4.099543,4.24
04/04/2014,48100,4.089735,4.155
07/04/2014,15100,4.060312,4.13
08/04/2014,26900,4.050506,4.135
09/04/2014,45600,4.001468,4.11
10/04/2014,96400,3.962237,4.055
11/04/2014,64700,3.962237,4.045
14/04/2014,84900,4.07012,4.09
15/04/2014,28800,4.011275,4.105
16/04/2014,79000,4.021082,4.095
17/04/2014,43000,3.981853,4.065
21/04/2014,31400,3.962237,4.03
22/04/2014,15800,3.972045,4.04
23/04/2014,25400,3.95243,4.05
24/04/2014,17500,4.001468,4.045
25/04/2014,21400,4.021082,4.075
28/04/2014,64300,4.060312,4.125
29/04/2014,88500,4.128965,4.185
30/04/2014,140300,4.334923,4.33
01/05/2014,142900,4.089735,4.14
02/05/2014,20500,4.079927,4.175
05/05/2014,49200,4.040698,4.1
06/05/2014,16900,4.040698,4.11
07/05/2014,36100,4.089735,4.13
08/05/2014,6400,4.060312,4.155
09/05/2014,13300,4.060312,4.125
